Locomotive_ID,Sold_Amount,Wango_ID,Sold_Amount_With_Locomotive
3380,5768,3378,2277
3380,5768,3379,1094
3380,5768,3381,1019
3378,3040,3380,1922
3378,3040,3381,983
3378,3040,3379,870
2241,2899,1362,386
2241,2899,4432,321
2241,2899,2494,282
4632,2728,3380,1865
4632,2728,3378,722
4632,2728,3329,562
3379,2308,3380,1024
3379,2308,3378,1021
3379,2308,3381,818
3381,2278,3378,970
3381,2278,3380,759
3381,2278,3382,627
3330,2219,3380,496
3330,2219,4632,276
3330,2219,3329,176
3329,1951,3380,779
3329,1951,4632,513
3329,1951,3378,273
1039,1686,319,148
1039,1686,619,102
1039,1686,3291,78
4009,1631,4054,300
4009,1631,4632,177
4009,1631,3329,157
4432,1381,2241,387
4432,1381,4470,178
4432,1381,4891,155
2494,1360,2241,356
2494,1360,2496,316
2494,1360,2495,296
3382,1252,3381,754
3382,1252,3380,496
3382,1252,3378,478
1713,1180,3380,721
1713,1180,4632,422
1713,1180,3329,253
3383,1152,3381,634
3383,1152,3378,568
3383,1152,3380,438
4891,1135,2494,191
4891,1135,4554,166
4891,1135,4432,139
1038,1115,319,251
1038,1115,619,160
1038,1115,621,117
319,1073,1038,254
319,1073,621,223
319,1073,622,198
4588,976,3380,928
4588,976,3378,583
4588,976,3379,337
1362,949,2241,308
1362,949,4432,80
1362,949,2494,76
1377,940,3380,256
1377,940,4632,247
1377,940,3329,206
4471,929,4477,25
4471,929,5411,16
4471,929,4566,15
3808,864,3338,106
3808,864,4432,52
3808,864,3340,51
4583,863,4581,86
4583,863,4584,49
4583,863,4582,15
4554,839,2241,281
4554,839,4552,239
4554,839,4891,182
1756,830,1475,214
1756,830,473,213
1756,830,1852,136
1668,778,3380,38
1668,778,3340,36
1668,778,3339,33
4523,742,3381,332
4523,742,3378,288
4523,742,3380,267
1378,740,3380,250
1378,740,4632,202
1378,740,3329,122
2496,724,2494,327
2496,724,2495,234
2496,724,2241,158
2703,724,3380,155
2703,724,4632,111
2703,724,3378,100
509,709,2241,70
509,709,3380,49
509,709,4432,47
825,675,1039,39
825,675,748,29
825,675,3380,27
4571,649,4569,147
4571,649,4570,113
4571,649,5162,97
4581,646,4583,104
4581,646,4582,82
4581,646,4584,45
3503,627,1038,87
3503,627,1039,71
3503,627,319,59
619,622,1038,148
619,622,1039,100
619,622,620,85
5162,608,4571,83
5162,608,4432,80
5162,608,5163,72
4552,593,4554,238
4552,593,2241,185
4552,593,2494,111
2495,592,2494,306
2495,592,2496,230
2495,592,2241,133
4456,589,4459,308
4456,589,4460,294
4456,589,4461,186
748,581,1038,56
748,581,319,56
748,581,1039,49
3819,578,3381,172
3819,578,3380,125
3819,578,3378,123
3818,578,4523,189
3818,578,3381,163
3818,578,3378,161
1380,575,3380,294
1380,575,4632,187
1380,575,1378,112
4633,574,4620,56
4633,574,4563,55
4633,574,2241,45
3340,571,1668,61
3340,571,3808,49
3340,571,3338,28
4465,558,4467,356
4465,558,4466,353
4465,558,4468,347
1475,550,1756,185
1475,550,1852,80
1475,550,473,67
1811,540,1812,61
1811,540,1408,39
1811,540,2241,29
615,533,319,108
615,533,622,107
615,533,613,96
3809,525,3338,36
3809,525,1668,33
3809,525,4583,24
4522,522,3380,322
4522,522,3378,194
4522,522,3379,176
4576,521,4430,16
4576,521,4574,14
4576,521,4582,14
3338,520,3808,89
3338,520,3809,47
3338,520,4002,43
556,517,554,127
556,517,555,88
556,517,282,78
4467,514,4465,358
4467,514,4468,347
4467,514,4469,335
3406,512,3640,25
3406,512,3040,17
3406,512,4471,17
4567,504,4456,39
4567,504,4461,31
4567,504,4460,22
4582,499,4581,104
4582,499,4583,16
4582,499,4576,9
4569,497,4571,181
4569,497,4570,162
4569,497,5162,55
617,495,319,117
617,495,615,63
617,495,621,61
1913,494,1915,276
1913,494,3380,154
1913,494,4632,77
613,493,319,105
613,493,1038,104
613,493,622,93
3291,491,319,117
3291,491,1038,80
3291,491,613,77
4054,488,4009,306
4054,488,4632,69
4054,488,3380,67
3412,487,4632,149
3412,487,3380,148
3412,487,1377,79
621,481,319,223
621,481,1038,116
621,481,622,108
4470,470,4432,134
4470,470,4435,80
4470,470,4466,56
4430,470,4488,24
4430,470,4428,19
4430,470,4583,10
1401,468,4632,192
1401,468,3380,134
1401,468,1377,106
3568,468,3596,33
3568,468,3591,27
3568,468,3812,26
4466,461,4465,351
4466,461,4468,334
4466,461,4467,333
3410,459,3380,226
3410,459,4632,154
3410,459,3378,69
3821,458,3380,256
3821,458,3378,144
3821,458,4632,97
4469,453,4465,339
4469,453,4467,335
4469,453,4466,325
4476,447,4432,57
4476,447,2241,52
4476,447,4478,49
2466,443,1446,124
2466,443,1448,35
2466,443,2850,23
3999,442,1038,21
3999,442,1039,20
3999,442,1667,20
974,439,920,145
974,439,2849,79
974,439,2746,40
622,434,319,170
622,434,615,120
622,434,621,110
3702,426,2241,62
3702,426,3380,54
3702,426,3701,51
4468,421,4465,350
4468,421,4467,349
4468,421,4466,337
3701,414,2241,56
3701,414,3702,51
3701,414,4432,26
2795,412,2790,110
2795,412,2791,58
2795,412,3366,36
4485,412,2241,142
4485,412,4432,107
4485,412,1362,82
586,411,585,80
586,411,584,50
586,411,1565,22
3292,406,319,86
3292,406,615,74
3292,406,621,66
1774,404,319,127
1774,404,1038,76
1774,404,615,64
4620,385,4563,98
4620,385,4633,76
4620,385,4565,74
5521,381,4632,177
5521,381,3380,137
5521,381,1713,78
4459,378,4456,340
